City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
221,Eyl,SO,78.15,overcast clouds,7.9803,49.8164,Amiin Hotel
223,Sohbatpur,PK,73.8,clear sky,28.5202,68.5434,Allu Hotel
227,Marsaxlokk,MT,72.21,overcast clouds,35.8419,14.5431,Water's Edge
228,Saint-Philippe,RE,74.79,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
229,Vanimo,PG,77.58,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
236,North Myrtle Beach,US,62.13,clear sky,33.816,-78.68,Avista Resort
239,Comodoro Rivadavia,AR,71.46,scattered clouds,-45.8667,-67.5,Austral Hotel
241,Machico,PT,67.71,scattered clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
243,Port Hedland,AU,75.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
245,Miri,MY,76.19,light rain,4.4148,114.0089,"Mega Hotel, Miri"
246,Butaritari,KI,81.68,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
247,Ilhabela,BR,71.92,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
