City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
173,Constitucion,CL,-35.3333,-72.4167,64.69,60,21,18.68,few clouds
174,Magdagachi,RU,53.45,125.8,15.12,62,12,3.18,few clouds
175,East London,ZA,-33.0153,27.9116,65.95,89,100,3.98,light rain
176,Taltal,CL,-25.4,-70.4833,66.04,65,24,8.72,few clouds
177,Paamiut,GL,61.994,-49.6678,20.37,64,0,7.2,clear sky
178,Udachnyy,RU,66.4167,112.4,19.31,87,100,16.78,overcast clouds
179,Mount Gambier,AU,-37.8333,140.7667,50.29,61,100,3.78,overcast clouds
180,Praia,CV,14.9215,-23.5087,77.54,73,20,17.27,few clouds
181,Port-Cartier,CA,50.0334,-66.8654,46.74,70,100,7.56,overcast clouds
182,Pevek,RU,69.7008,170.3133,1.06,92,89,4.36,overcast clouds
183,Kaitangata,NZ,-46.2817,169.8464,51.35,93,72,2.95,broken clouds
184,Prainha,BR,-1.8,-53.48,89.1,52,100,1.77,overcast clouds
185,Baykit,RU,61.67,96.37,29.86,89,100,10.25,overcast clouds
186,Namibe,AO,-15.1961,12.1522,69.19,75,96,6.13,overcast clouds
187,Seymchan,RU,62.8833,152.4333,7.09,92,99,10.33,overcast clouds
188,Erenhot,CN,43.6475,111.9767,12.07,83,14,8.05,few clouds
189,Loviisa,FI,60.4566,26.2251,36.63,93,100,11.45,snow
190,Vikhorevka,RU,56.1201,101.1636,31.59,90,100,12.91,light snow
191,Rawson,AR,-43.3002,-65.1023,67.87,39,3,13.02,clear sky
192,Carutapera,BR,-1.195,-46.02,85.98,63,55,9.26,broken clouds
193,Manta,EC,-0.95,-80.7333,78.58,69,40,12.66,scattered clouds
194,Cururupu,BR,-1.8283,-44.8683,86.61,56,98,5.17,overcast clouds
195,Hare Bay,CA,48.8499,-54.0148,49.19,73,100,11.9,overcast clouds
196,Narsaq,GL,60.9167,-46.05,34.02,74,100,4.81,overcast clouds
197,Bocana De Paiwas,NI,12.7857,-85.1227,83.35,73,83,13.82,broken clouds
198,Lavrentiya,RU,65.5833,-171.0,6.84,94,21,7.18,few clouds
199,Guanica,PR,17.9716,-66.908,88.61,66,34,8.99,scattered clouds
200,Salinopolis,BR,-0.6136,-47.3561,83.98,70,95,8.55,overcast clouds
201,Ribeira Grande,PT,38.5167,-28.7,70.2,83,40,21.85,scattered clouds
202,Belogorsk,RU,50.9158,128.4611,13.26,93,99,3.29,overcast clouds
203,Faya,SA,18.3851,42.4509,57.72,61,1,2.33,clear sky
204,Saint George,US,37.1041,-113.5841,77.47,30,1,4.0,clear sky
205,Muros,ES,42.7762,-9.0603,57.09,78,99,10.45,overcast clouds
206,Clyde River,CA,70.4692,-68.5914,10.49,82,12,9.89,few clouds
207,Jiuquan,CN,39.7432,98.5174,20.01,48,0,1.32,clear sky
208,Ossora,RU,59.2353,163.0719,31.39,99,100,6.33,snow
209,Augusto Correa,BR,-1.0217,-46.635,86.32,64,98,8.16,overcast clouds
210,Ormara,PK,25.2088,64.6357,78.85,50,0,8.59,clear sky
211,Saint-Francois,FR,46.4154,3.9054,47.68,93,90,3.44,light intensity drizzle
212,Cabo Rojo,PR,18.0866,-67.1457,88.38,68,49,5.01,scattered clouds
213,Adre,TD,13.4667,22.2,80.6,20,0,6.17,clear sky
214,Moroni,KM,-11.7022,43.2551,78.85,78,6,3.24,clear sky
215,Lazaro Cardenas,MX,17.9583,-102.2,84.45,69,100,5.01,overcast clouds
216,Oistins,BB,13.0667,-59.5333,86.09,66,40,18.41,scattered clouds
217,Katobu,ID,-4.9408,122.5276,76.08,93,68,2.35,broken clouds
218,Leningradskiy,RU,69.3833,178.4167,3.15,85,60,5.68,broken clouds
219,Qaanaaq,GL,77.484,-69.3632,4.32,71,13,7.74,few clouds
220,Makaha,US,21.4694,-158.2175,80.51,83,90,4.61,overcast clouds
221,Eyl,SO,7.9803,49.8164,78.15,66,92,11.95,overcast clouds
222,Kita,ML,13.0349,-9.4895,87.94,26,15,1.14,few clouds
223,Sohbatpur,PK,28.5202,68.5434,73.8,25,0,2.53,clear sky
224,Grindavik,IS,63.8424,-22.4338,37.87,75,90,12.66,light rain
225,Rucar,RO,45.4,25.1667,48.45,78,20,3.02,few clouds
226,Shubarshi,KZ,48.5872,57.1869,37.02,52,100,6.78,overcast clouds
227,Marsaxlokk,MT,35.8419,14.5431,72.21,94,100,12.66,overcast clouds
228,Saint-Philippe,RE,-21.3585,55.7679,74.79,82,61,8.84,broken clouds
229,Vanimo,PG,-2.6741,141.3028,77.58,89,11,4.03,few clouds
230,Husavik,IS,66.0449,-17.3389,30.49,93,100,6.71,light snow
231,Thompson,CA,55.7435,-97.8558,42.06,70,13,8.46,few clouds
232,Minudasht,IR,37.2289,55.3747,50.56,70,99,0.85,overcast clouds
233,Lata,PT,40.1629,-8.3327,53.82,64,5,4.16,clear sky
234,Manaure,CO,11.7751,-72.4445,89.89,54,67,16.49,broken clouds
235,Mandalgovi,MN,45.7625,106.2708,14.05,67,40,7.67,scattered clouds
236,North Myrtle Beach,US,33.816,-78.68,62.13,62,1,1.01,clear sky
237,Kodinsk,RU,58.6881,99.1844,31.08,96,100,12.91,snow
238,Anchorage,US,61.2181,-149.9003,30.94,88,90,1.01,overcast clouds
239,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,30,40,16.11,scattered clouds
240,Santiago De Compostela,ES,42.8805,-8.5457,54.28,75,0,5.99,clear sky
241,Machico,PT,32.7,-16.7667,67.71,73,40,10.36,scattered clouds
242,Tomatlan,MX,19.9333,-105.25,89.24,54,82,4.88,broken clouds
243,Port Hedland,AU,-20.3167,118.5667,75.25,78,40,10.36,scattered clouds
